daily_demand,Cluster,Silhouette,mean_temp,pressure,sunshine,precipitation,global_radiation,max_temp,min_temp
continuous,C1 C2 C3,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,,,,
39521.8,C3,0.576867,7.2,101160,0.0,2.0,14,10.4,4.0
39499.3,C3,0.588695,8.6,100950,0.2,0.2,18,10.1,7.1
40414.7,C3,0.61753,3.6,101410,0.0,0.2,14,7.1,0.2
39647.2,C3,0.60763,4.0,101300,0.0,1.0,15,6.6,1.3
38468.5,C1,0.517196,6.6,101310,0.1,5.2,17,9.3,4.0
39140.9,C3,0.557312,6.0,99940,4.2,0.2,52,9.3,2.7
39848.9,C3,0.59192,4.1,101410,0.0,2.2,18,7.6,0.6
39426.8,C3,0.633273,4.4,101680,3.4,0.0,49,6.0,2.7
39094.5,C3,0.631053,4.4,101550,1.2,0.0,34,8.3,0.4
35110.1,C3,0.621759,4.2,101170,2.6,0.0,45,6.6,1.7
40804.3,C3,0.563383,4.0,99930,2.9,0.2,55,6.6,1.4
39646,C3,0.635026,3.5,102280,4.0,0.0,67,6.6,0.4
33842.4,C3,0.631907,4.1,102780,0.0,0.0,25,9.1,-0.9
37624.1,C3,0.64966,7.6,102580,1.5,0.0,47,11.5,3.7
37801.6,C3,0.639049,8.0,102590,0.1,0.6,29,11.1,5.0
37781.9,C3,0.627859,8.8,102670,0.0,0.6,26,10.0,7.7
37457.6,C3,0.637356,8.0,102760,0.0,0.2,27,9.8,6.3
36629.2,C3,0.629606,7.7,103150,4.3,0.0,76,10.6,4.8
31593.6,C3,0.643444,8.2,102760,0.3,0.0,36,11.6,4.7
36626.2,C3,0.634273,9.2,102480,0.0,0.0,29,11.0,7.3
37021.8,C3,0.628881,9.8,102690,0.0,0.0,29,11.5,8.1
36883.8,C3,0.608464,9.3,101536.61,0.0,0.0,30,10.0,8.6
36691.2,C3,0.631452,7.8,101536.61,0.5,0.0,42,10.0,5.5
35282.4,C3,0.521044,11.476,102010,7.6,0.0,111,15.1,6.3
32266.9,C3,0.616428,8.8,101470,0.0,0.0,31,10.3,7.2
31517.3,C3,0.602339,7.6,100840,0.3,0.0,44,11.4,3.8
36191,C3,0.605163,6.1,101580,7.8,0.2,129,11.9,0.3
32115.4,C3,0.597638,8.4,100940,2.6,0.6,83,13.3,3.5
31248.7,C1,0.514645,8.6,100340,6.5,3.0,127,11.7,5.4
36327.2,C3,0.544481,6.9,101050,7.2,3.0,135,11.6,2.2
37130.1,C3,0.596605,9.4,101010,1.6,0.2,73,12.3,6.4
36946.3,C3,0.636599,7.6,102280,2.9,0.4,91,14.1,1.0
36014.2,C3,0.63544,9.4,102080,0.1,0.0,46,13.4,5.5
35496.8,C3,0.630847,9.6,101990,0.6,0.0,59,11.6,7.5
30837.1,C3,0.617046,10.0,101720,3.1,0.0,97,13.6,6.5
29157.8,C2,0.507007,10.4,103090,8.6,0.0,171,15.2,5.6
34262,C3,0.602889,9.7,101830,2.5,1.6,100,13.2,6.2
35290.4,C3,0.552296,8.0,101650,8.5,1.2,174,11.7,4.2
35032.3,C3,0.543918,9.6,100490,4.4,0.6,128,12.8,6.5
