daily_demand,date_format,Month,cloud_cover,Year,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure
continuous,time,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,,,,,,,,,,
39521.8,01-12-2009 00:00,1,8,2009,0,14,10.4,7.2,4,2,101160
39499.3,13-01-2009 00:00,1,5,2009,0.2,18,10.1,8.6,7.1,0.2,100950
40414.7,14-01-2009 00:00,1,7,2009,0,14,7.1,3.6,0.2,0.2,101410
39647.2,15-01-2009 00:00,1,7,2009,0,15,6.6,4,1.3,1,101300
38468.5,16-01-2009 00:00,1,8,2009,0.1,17,9.3,6.6,4,5.2,101310
39140.9,26-01-2009 00:00,1,4,2009,4.2,52,9.3,6,2.7,0.2,99940
39848.9,28-01-2009 00:00,1,8,2009,0,18,7.6,4.1,0.6,2.2,101410
39426.8,29-01-2009 00:00,1,5,2009,3.4,49,6,4.4,2.7,0,101680
39094.5,30-01-2009 00:00,1,5,2009,1.2,34,8.3,4.4,0.4,0,101550
35110.1,31-01-2009 00:00,1,4,2009,2.6,45,6.6,4.2,1.7,0,101170
40804.3,02-10-2009 00:00,2,5,2009,2.9,55,6.6,4,1.4,0.2,99930
40996.7,02-11-2009 00:00,2,4,2009,4.9,71,7.7,2.9,-1.9,0.4,101760
39646,13-02-2009 00:00,2,5,2009,4,67,6.6,3.5,0.4,0,102280
33842.4,15-02-2009 00:00,2,8,2009,0,25,9.1,4.1,-0.9,0,102780
37624.1,16-02-2009 00:00,2,6,2009,1.5,47,11.5,7.6,3.7,0,102580
37801.6,17-02-2009 00:00,2,7,2009,0.1,29,11.1,8,5,0.6,102590
37781.9,18-02-2009 00:00,2,8,2009,0,26,10,8.8,7.7,0.6,102670
37457.6,19-02-2009 00:00,2,8,2009,0,27,9.8,8,6.3,0.2,102760
36629.2,20-02-2009 00:00,2,6,2009,4.3,76,10.6,7.7,4.8,0,103150
32334.1,21-02-2009 00:00,2,3,2009,8.8,111,12.8,8.3,3.8,0,103170
31593.6,22-02-2009 00:00,2,7,2009,0.3,36,11.6,8.2,4.7,0,102760
36626.2,23-02-2009 00:00,2,8,2009,0,29,11,9.2,7.3,0,102480
37021.8,24-02-2009 00:00,2,8,2009,0,29,11.5,9.8,8.1,0,102690
36883.8,25-02-2009 00:00,2,7,2009,0,30,10,9.3,8.6,0,101536.61
36691.2,26-02-2009 00:00,2,7,2009,0.5,42,10,7.8,5.5,0,101536.61
35282.4,27-02-2009 00:00,2,5,2009,7.6,111,15.1,11.476,6.3,0,102010
32266.9,28-02-2009 00:00,2,7,2009,0,31,10.3,8.8,7.2,0,101470
31517.3,03-01-2009 00:00,3,7,2009,0.3,44,11.4,7.6,3.8,0,100840
36191,03-02-2009 00:00,3,3,2009,7.8,129,11.9,6.1,0.3,0.2,101580
37762.8,03-04-2009 00:00,3,5,2009,4.8,104,8.4,5.8,3.1,0,98290
32115.4,03-07-2009 00:00,3,6,2009,2.6,83,13.3,8.4,3.5,0.6,100940
31248.7,03-08-2009 00:00,3,5,2009,6.5,127,11.7,8.6,5.4,3,100340
36327.2,03-09-2009 00:00,3,3,2009,7.2,135,11.6,6.9,2.2,3,101050
37130.1,03-10-2009 00:00,3,5,2009,1.6,73,12.3,9.4,6.4,0.2,101010
36946.3,03-11-2009 00:00,3,5,2009,2.9,91,14.1,7.6,1,0.4,102280
36014.2,03-12-2009 00:00,3,8,2009,0.1,46,13.4,9.4,5.5,0,102080
35496.8,13-03-2009 00:00,3,8,2009,0.6,59,11.6,9.6,7.5,0,101990
30837.1,14-03-2009 00:00,3,5,2009,3.1,97,13.6,10,6.5,0,101720
30217.4,15-03-2009 00:00,3,2,2009,8.9,162,15.3,9,2.8,0,103040
35006.8,17-03-2009 00:00,3,2,2009,9.9,175,15.4,9.8,4.1,0,103500
35068.2,18-03-2009 00:00,3,1,2009,10.4,182,16.2,10.2,4.3,0,103190
35040.9,19-03-2009 00:00,3,2,2009,9.3,173,14.8,8.9,3,0,102910
34081.1,20-03-2009 00:00,3,1,2009,9.7,179,13.2,8.8,4.3,0,103170
29157.8,22-03-2009 00:00,3,3,2009,8.6,171,15.2,10.4,5.6,0,103090
34262,23-03-2009 00:00,3,4,2009,2.5,100,13.2,9.7,6.2,1.6,101830
35290.4,24-03-2009 00:00,3,4,2009,8.5,174,11.7,8,4.2,1.2,101650
35032.3,25-03-2009 00:00,3,5,2009,4.4,128,12.8,9.6,6.5,0.6,100490
35061.7,26-03-2009 00:00,3,6,2009,1.5,87,15.3,11.2,7.2,0.6,100250
34315.3,27-03-2009 00:00,3,3,2009,2,96,11.2,7.6,4,0.4,99780
31540.4,28-03-2009 00:00,3,5,2009,2.8,110,11.1,6.2,1.3,0.2,99950
30821.9,29-03-2009 00:00,3,4,2009,4.3,132,10.6,5.3,0,0.2,101350
34923.5,30-03-2009 00:00,3,4,2009,6.8,165,13.6,7.2,0.9,0,102020
34794.2,31-03-2009 00:00,3,7,2009,0.3,65,14.9,11.1,7.3,0,102340
34149.5,04-01-2009 00:00,4,1,2009,9.6,200,16.6,10.4,4.3,0,102250
34085.6,04-02-2009 00:00,4,4,2009,6.2,162,16.4,12,7.6,0,102030
33586.7,04-03-2009 00:00,4,5,2009,4.2,137,13.6,9.3,5,0,101740
29158,04-04-2009 00:00,4,5,2009,7.9,186,17.1,11.4,5.6,0,101850
28448.5,04-05-2009 00:00,4,5,2009,4.1,138,14.7,11,7.2,0,102220
32983.2,04-06-2009 00:00,4,6,2009,5.5,158,17.9,12.8,7.7,0,100980
32767.1,04-07-2009 00:00,4,4,2009,5.9,165,15.2,11.6,8.1,1.8,100720
32337.3,04-08-2009 00:00,4,3,2009,10.1,218,16.1,12.2,8.3,0,100650
32415.5,04-09-2009 00:00,4,7,2009,0.8,85,15.1,11.4,7.6,0,100850
28994.1,04-10-2009 00:00,4,8,2009,0,59,13.1,12.3,11.5,6.8,100290
27920.5,04-11-2009 00:00,4,8,2009,0,60,11.2,10,8.8,2.8,100850
26667.6,04-12-2009 00:00,4,8,2009,0,61,12.6,10.8,9.1,0,101380
27187.6,13-04-2009 00:00,4,5,2009,5.1,162,17.6,11.476,9.4,0,101100
