daily_demand,date_format,Predicted_daily_demand,Fold,Month,mean_temp,pressure,cloud_cover,Year,sunshine,precipitation
continuous,time,continuous,1 2 3,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,meta,,,,,,,
36554.7,02-11-2011 00:00,34631.8,1,2,10.2,101090,7,2011,0.1,2.6
37282.2,15-02-2012 00:00,34433.3,1,2,7.9,102560,6,2012,2.9,0
29506.9,31-12-2011 00:00,33883.1,1,12,9.2,101000,8,2011,0,0.2
25914.6,13-09-2009 00:00,32027.9,1,9,14.3,102810,5,2009,0.5,0
29893.8,29-12-2013 00:00,34027.6,1,12,5.1,101490,1,2013,6.3,0.4
37871.8,03-04-2011 00:00,35372.1,1,3,4.4,103320,4,2011,6.2,0
30820.7,15-12-2013 00:00,31886.6,1,12,8.9,101910,6,2013,0,9
22960.2,09-08-2018 00:00,25675.4,1,9,14.9,101800,7,2018,0.9,0
30572.3,10-01-2013 00:00,29666.1,1,10,14.6,100890,6,2013,0,0
30379.8,16-05-2011 00:00,30334.9,1,5,15.5,102310,7,2011,1.2,0
34394.5,29-10-2012 00:00,33249.9,1,10,9,100870,7,2012,1.7,1.8
26343.3,22-08-2017 00:00,25268.3,1,8,19.4,101860,8,2017,0.5,0.2
31480.2,21-10-2015 00:00,30229.1,1,10,11.8,101790,8,2015,0,1.6
25240.1,29-04-2018 00:00,29440.7,1,4,7.3,101090,8,2018,0,2.2
26384,18-04-2017 00:00,27441,1,4,8.9,103100,2,2017,10.5,0
31112.5,16-07-2009 00:00,28950,1,7,19,101680,6,2009,4.6,9.8
34115.9,03-12-2014 00:00,30656.1,1,3,9.4,103230,1,2014,7.7,0.2
34238.4,18-11-2011 00:00,32800.6,1,11,11.9,101780,4,2011,2.2,0.2
29286.1,21-03-2015 00:00,32140.7,1,3,6.4,102580,6,2015,0.5,0
27886.1,04-02-2018 00:00,29433.1,1,4,8,99920,8,2018,0.1,4.2
31345.9,29-06-2010 00:00,27065.5,1,6,22.3,101920,4,2010,4.9,0
31308.4,30-03-2012 00:00,31146.2,1,3,11.8,102410,0,2012,10.4,0
29770.3,24-10-2010 00:00,34613.5,1,10,7,101590,1,2010,7.6,0
29708.8,25-01-2020 00:00,30684.8,1,1,6.3,101930,8,2020,0,0.2
30359,09-03-2009 00:00,30659,1,9,16.6,99930,5,2009,6.5,0
23066.5,27-08-2016 00:00,25132,1,8,21.2,101560,5,2016,2.2,0
35051.2,29-02-2012 00:00,33437.5,1,2,10.8,102470,8,2012,0,0
22586,25-08-2020 00:00,21364.8,1,8,19,100270,6,2020,2.3,3
31106.5,25-04-2014 00:00,30242.8,1,4,11.1,101150,6,2014,0,6
23201.6,08-05-2019 00:00,21802.9,1,8,21.2,100980,5,2019,4.8,0.2
33346.4,12-09-2020 00:00,29552.3,1,12,4.5,100630,7,2020,1.3,0
19211.4,07-11-2020 00:00,21087.4,1,7,15.1,102700,4,2020,6,0
23972.9,06-11-2018 00:00,29054.5,1,6,18.9,101390,3,2018,12.1,0
25455.8,29-07-2016 00:00,25346.4,1,7,19.8,101110,8,2016,1.3,0.4
31891.3,15-02-2018 00:00,31073.5,1,2,5.9,100800,2,2018,5.2,0
27806.7,10-07-2012 00:00,32219.2,1,10,9.3,101790,3,2012,3.2,0
34679.6,15-12-2017 00:00,32232.7,1,12,3.3,99870,4,2017,4.1,0
29379,31-01-2020 00:00,28727.4,1,1,10.7,100640,7,2020,0,1
34968.8,29-03-2010 00:00,34420.9,1,3,10.1,99910,8,2010,0,5
28616.7,28-04-2017 00:00,28113.7,1,4,11.2,101690,8,2017,1.4,0
33830.5,15-02-2017 00:00,31176.7,1,2,8,102780,7,2017,0.1,1.4
40546.2,24-01-2013 00:00,36703.3,1,1,1.7,101660,8,2013,0,0
30879.1,18-08-2009 00:00,28138,1,8,18.9,101870,2,2009,8.8,0
23667.6,17-09-2017 00:00,27378.8,1,9,12.8,101380,7,2017,3.3,0.4
28799.7,21-10-2019 00:00,27574.4,1,10,11.1,101850,8,2019,0,0.4
18454.5,26-07-2020 00:00,22528.3,1,7,18.1,100980,6,2020,0.7,2.4
23846.1,10-07-2018 00:00,27356.6,1,10,10.1,102240,1,2018,7.9,0
27473,23-06-2016 00:00,25881.5,1,6,18.7,101590,8,2016,0,5.6
